person_sets_down_object/2018-03-11.11-20-00.11-25-00.school.G330_492-kf1_1;12;26;25;24;18
person_sets_down_object/2018-03-11.11-20-00.11-25-00.school.G330_492-kf1_91;26;25;12;24;21
person_closes_vehicle_door/2018-03-11.16-35-01.16-40-01.school.G328_28-kf1_1;2;11;5;7;13
person_standing_up/2018-03-11.16-25-00.16-30-00.school.G330_53-kf1_1;22;21;25;26;27
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_1;18;0;20;27;4
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_91;18;0;20;27;4
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_181;18;20;27;4;0
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_271;18;27;20;28;0
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_361;18;20;0;27;4
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_451;18;27;20;0;4
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_541;18;27;20;4;0
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_631;18;20;0;27;4
Talking/2018-03-11.11-20-00.11-25-00.school.G330_685-kf1_721;18;20;0;27;4
Talking/2018-03-11.11-30-00.11-35-00.school.G420_23-kf1_1;18;4;6;0;20
Talking/2018-03-11.11-30-00.11-35-00.school.G420_23-kf1_91;18;4;6;20;0
person_picks_up_object/2018-03-11.11-20-00.11-25-00.school.G330_522-kf1_1;12;26;25;24;0
Transport_HeavyCarry/2018-03-11.11-20-00.11-25-00.school.G330_416-kf1_1;12;25;26;24;22
Talking/2018-03-11.11-20-00.11-25-00.school.G330_664-kf1_1;18;20;27;6;4
Talking/2018-03-11.11-20-00.11-25-00.school.G330_664-kf1_91;18;20;4;27;6
Talking/2018-03-11.11-20-00.11-25-00.school.G330_664-kf1_181;18;20;6;0;4
person_opens_facility_door/2018-03-11.16-10-01.16-15-01.admin.G326_2-kf1_1;10;6;4;1;18
person_enters_vehicle/2018-03-11.11-20-01.11-25-01.school.G638_1-kf1_1;5;7;11;2;18
person_sets_down_object/2018-03-11.16-15-00.16-20-00.school.G299_109-kf1_1;26;12;25;18;21
Talking/2018-03-11.16-45-00.16-50-00.school.G299_29-kf1_1;18;20;27;26;4
Talking/2018-03-11.16-45-00.16-50-00.school.G299_29-kf1_91;18;20;27;26;25
Talking/2018-03-11.16-45-00.16-50-00.school.G299_29-kf1_181;18;20;26;22;4
Talking/2018-03-11.16-45-00.16-50-00.school.G299_29-kf1_271;18;20;4;26;21
Talking/2018-03-11.16-45-00.16-50-00.school.G299_29-kf1_361;18;20;22;4;26
